website_id,category,technical_score,technical_norm,demographic_score,demographic_norm,scenario,final_score,rank,baseline_a_rank,baseline_b_rank,baseline_c_rank,top_issue_1,top_issue_2,top_issue_3,stability_status
W03,melihat,3.4200000000000004,0.05447696319907275,0.0047,0.5238095238095237,S3,0.3830097556263884,13,26,26,10,1.4.3,4.1.2,2.4.4,Sensitif
W31,melihat,13.709999999999999,0.253259924659519,0.0043,0.4285714285714285,S3,0.37597797739785566,14,20,16,12,4.1.2,1.4.3,1.1.1,Sensitif
W11,melihat,24.169999999999998,0.4553269583695547,0.0038,0.3095238095238095,S3,0.353264754177533,15,12,6,18,1.1.1,4.1.2,1.4.3,Sensitif
W23,melihat,15.255,0.2831063459866706,0.0041,0.380952380952381,S3,0.35159857046266785,16,13,14,17,1.4.3,2.4.4,4.1.2,Sensitif
W04,melihat,12.209999999999999,0.22428281657490584,0.0042,0.40476190476190466,S3,0.350618178305805,17,15,21,16,4.1.2,2.4.4,1.4.3,Sensitif
W14,melihat,3.145,0.049164493383560326,0.0043,0.4285714285714285,S3,0.31474934801506804,18,27,27,12,4.1.2,1.4.3,3.1.1,Sensitif
W13,melihat,25.06,0.47252004249975854,0.0035,0.23809523809523805,S3,0.3084226794165942,19,3,4,22,1.1.1,4.1.2,1.4.3,Sensitif
W08,melihat,25.044999999999998,0.4722302714189124,0.0035,0.23809523809523805,S3,0.3083357480923403,20,5,5,22,1.1.1,1.4.3,4.1.2,Sensitif
W22,melihat,13.169999999999998,0.24282816574905824,0.0037,0.2857142857142857,S3,0.27284844972471745,21,17,18,20,1.4.3,4.1.2,2.4.4,Sensitif
W02,melihat,9.665000000000001,0.17511832319134554,0.0038,0.3095238095238095,S3,0.2692021636240703,22,23,23,18,4.1.2,1.4.3,2.4.4,Sensitif
W25,melihat,13.87,0.2563508161885444,0.0036,0.2619047619047618,S3,0.2602385781898966,23,16,15,21,1.4.3,4.1.2,2.4.4,Sensitif
W05,melihat,19.330000000000002,0.3618274896165363,0.0032,0.16666666666666666,S3,0.22521491355162754,24,9,11,26,4.1.2,2.4.4,1.1.1,Sensitif
W17,melihat,11.77,0.215782864870086,0.0034,0.2142857142857142,S3,0.21473485946102572,25,21,22,25,1.4.3,4.1.2,1.4.1,Sensitif
W09,melihat,20.11,0.3768955858205351,0.0031,0.1428571428571428,S3,0.21306867574616048,26,4,9,27,2.4.4,4.1.2,1.1.1,Sensitif
W10,melihat,13.425,0.24775427412344253,0.0031,0.1428571428571428,S3,0.17432628223703273,27,19,17,27,1.4.3,4.1.2,2.4.4,Sensitif
W15,melihat,1.05,0.008693132425383946,0.0035,0.23809523809523805,S3,0.16927460639428182,28,28,29,22,1.4.3,2.2.1,-,Sensitif
W12,melihat,3.75,0.06085192697768763,0.0031,0.1428571428571428,S3,0.11825557809330624,29,25,25,27,1.4.3,-,-,Sensitif
W16,melihat,1.4000000000000001,0.015454457645127019,0.0025,0.0,S3,0.004636337293538105,30,28,28,30,1.4.4,3.1.1,-,Sensitif
W33,mendengar,0.0,0.0,0.0063,1.0,S1,0.3,1,1,1,1,-,-,-,Robust
W14,mendengar,0.0,0.0,0.0053,0.7619047619047619,S1,0.22857142857142854,2,1,1,2,-,-,-,Robust
W19,mendengar,0.0,0.0,0.0051,0.7142857142857143,S1,0.21428571428571427,3,1,1,3,-,-,-,Robust
W27,mendengar,0.0,0.0,0.0048,0.6428571428571427,S1,0.1928571428571428,4,1,1,4,-,-,-,Sensitif
W24,mendengar,0.0,0.0,0.0047,0.6190476190476191,S1,0.18571428571428572,5,1,1,5,-,-,-,Sensitif
W29,mendengar,0.0,0.0,0.0046,0.5952380952380951,S1,0.17857142857142852,6,1,1,6,-,-,-,Sensitif
W18,mendengar,0.0,0.0,0.0044,0.5476190476190477,S1,0.16428571428571428,7,1,1,7,-,-,-,Sensitif
W03,mendengar,0.0,0.0,0.0043,0.5238095238095237,S1,0.1571428571428571,8,1,1,8,-,-,-,Sensitif
W13,mendengar,0.0,0.0,0.0041,0.4761904761904762,S1,0.14285714285714285,9,1,1,9,-,-,-,Sensitif
W25,mendengar,0.0,0.0,0.0041,0.4761904761904762,S1,0.14285714285714285,9,1,1,9,-,-,-,Sensitif
W17,mendengar,0.0,0.0,0.0039,0.4285714285714285,S1,0.12857142857142853,11,1,1,11,-,-,-,Sensitif
